"Benchmark","Param: queueType","Threads","Param: additionalWork","Param: ringSize","Duration","Iterations","Score","Score Error"
EnqDec,MutexBasedQueue,1,2,8192,10000000,50,16113270,52511
EnqDec,LinkedCRQueue/padded,1,2,8192,10000000,50,14692463,17623
EnqDec,FAAArrayQueue/padded,1,2,8192,10000000,50,15184056,26225
EnqDec,LinkedPRQueue/padded,1,2,8192,10000000,50,14399434,33695
EnqDec,MutexBasedQueue,2,2,8192,10000000,50,3923031,25516
EnqDec,LinkedCRQueue/padded,2,2,8192,10000000,50,7652968,21160
EnqDec,FAAArrayQueue/padded,2,2,8192,10000000,50,10224720,341529
EnqDec,LinkedPRQueue/padded,2,2,8192,10000000,50,7805350,20556
EnqDec,MutexBasedQueue,4,2,8192,10000000,50,3859984,79250
EnqDec,LinkedCRQueue/padded,4,2,8192,10000000,50,13652162,1916349
EnqDec,FAAArrayQueue/padded,4,2,8192,10000000,50,17025575,2600823
EnqDec,LinkedPRQueue/padded,4,2,8192,10000000,50,12821756,2850935
EnqDec,MutexBasedQueue,8,2,8192,10000000,50,2109724,71079
EnqDec,LinkedCRQueue/padded,8,2,8192,10000000,50,9412378,798524
EnqDec,FAAArrayQueue/padded,8,2,8192,10000000,50,12933260,2116130
EnqDec,LinkedPRQueue/padded,8,2,8192,10000000,50,11837913,1501938
EnqDec,MutexBasedQueue,16,2,8192,10000000,50,1875461,55537
EnqDec,LinkedCRQueue/padded,16,2,8192,10000000,50,12616934,2528308
EnqDec,FAAArrayQueue/padded,16,2,8192,10000000,50,13525939,2137295
EnqDec,LinkedPRQueue/padded,16,2,8192,10000000,50,13092831,2606659
EnqDec,MutexBasedQueue,32,2,8192,10000000,50,1791883,13790
EnqDec,LinkedCRQueue/padded,32,2,8192,10000000,50,19555017,3938730
EnqDec,FAAArrayQueue/padded,32,2,8192,10000000,50,18124224,3288426
EnqDec,LinkedPRQueue/padded,32,2,8192,10000000,50,17939693,2785040
EnqDec,MutexBasedQueue,64,2,8192,10000000,50,1759335,9875
EnqDec,LinkedCRQueue/padded,64,2,8192,10000000,50,24436021,952438
EnqDec,FAAArrayQueue/padded,64,2,8192,10000000,50,22664802,1066199
EnqDec,LinkedPRQueue/padded,64,2,8192,10000000,50,21040256,939437
EnqDec,MutexBasedQueue,128,2,8192,10000000,50,1426717,4332
EnqDec,LinkedCRQueue/padded,128,2,8192,10000000,50,35229825,713603
EnqDec,FAAArrayQueue/padded,128,2,8192,10000000,50,28958449,1119613
EnqDec,LinkedPRQueue/padded,128,2,8192,10000000,50,26459508,315039
