"Benchmark","Param: queueType","Threads","Param: additionalWork","Param: ringSize","Duration","Iterations","Score","Score Error"
producerConsumer[1/2],MutexBasedQueue,3,0,8192,10000,10,2410717,81777
producerConsumer[1/2],LinkedCRQueue/padded,3,0,8192,10000,10,5354229,30476
producerConsumer[1/2],FAAArrayQueue/padded,3,0,8192,10000,10,7236655,61211
producerConsumer[1/2],LinkedPRQueue/padded,3,0,8192,10000,10,8756540,150322
producerConsumer[1/2],MutexBasedQueue,6,0,8192,10000,10,1196265,109273
producerConsumer[1/2],LinkedCRQueue/padded,6,0,8192,10000,10,3963202,2837697
producerConsumer[1/2],FAAArrayQueue/padded,6,0,8192,10000,10,5004746,1665026
producerConsumer[1/2],LinkedPRQueue/padded,6,0,8192,10000,10,2454011,1630987
producerConsumer[1/2],MutexBasedQueue,12,0,8192,10000,10,1003311,33343
producerConsumer[1/2],LinkedCRQueue/padded,12,0,8192,10000,10,2224262,1184486
producerConsumer[1/2],FAAArrayQueue/padded,12,0,8192,10000,10,1452276,832769
producerConsumer[1/2],LinkedPRQueue/padded,12,0,8192,10000,10,1820004,572828
producerConsumer[1/2],MutexBasedQueue,24,0,8192,10000,10,992169,40851
producerConsumer[1/2],LinkedCRQueue/padded,24,0,8192,10000,10,2526178,895766
producerConsumer[1/2],FAAArrayQueue/padded,24,0,8192,10000,10,3632056,1375867
producerConsumer[1/2],LinkedPRQueue/padded,24,0,8192,10000,10,2576404,693139
producerConsumer[1/2],MutexBasedQueue,48,0,8192,10000,10,1023029,21120
producerConsumer[1/2],LinkedCRQueue/padded,48,0,8192,10000,10,3095465,339156
producerConsumer[1/2],FAAArrayQueue/padded,48,0,8192,10000,10,2220519,64793
producerConsumer[1/2],LinkedPRQueue/padded,48,0,8192,10000,10,2892637,184417
producerConsumer[1/2],MutexBasedQueue,96,0,8192,10000,10,959260,17563
producerConsumer[1/2],LinkedCRQueue/padded,96,0,8192,10000,10,5305701,96399
producerConsumer[1/2],FAAArrayQueue/padded,96,0,8192,10000,10,3935510,90189
producerConsumer[1/2],LinkedPRQueue/padded,96,0,8192,10000,10,5002907,221406
producerConsumer[1/2],MutexBasedQueue,126,0,8192,10000,10,936045,14839
producerConsumer[1/2],LinkedCRQueue/padded,126,0,8192,10000,10,6722062,300755
producerConsumer[1/2],FAAArrayQueue/padded,126,0,8192,10000,10,4812117,145036
producerConsumer[1/2],LinkedPRQueue/padded,126,0,8192,10000,10,6205233,149386
