"Benchmark","Param: queueType","Threads","Param: additionalWork","Param: ringSize","Duration","Iterations","Score","Score Error"
producerConsumer[2/1],MutexBasedQueue,3,2,8192,10000,10,2088780,90551
producerConsumer[2/1],LinkedCRQueue/padded,3,2,8192,10000,10,5224030,1504591
producerConsumer[2/1],FAAArrayQueue/padded,3,2,8192,10000,10,10204379,4109051
producerConsumer[2/1],LinkedPRQueue/padded,3,2,8192,10000,10,4873283,463729
producerConsumer[2/1],MutexBasedQueue,6,2,8192,10000,10,1230562,125490
producerConsumer[2/1],LinkedCRQueue/padded,6,2,8192,10000,10,4465113,829156
producerConsumer[2/1],FAAArrayQueue/padded,6,2,8192,10000,10,5328930,1173294
producerConsumer[2/1],LinkedPRQueue/padded,6,2,8192,10000,10,4217521,808760
producerConsumer[2/1],MutexBasedQueue,12,2,8192,10000,10,1069866,22620
producerConsumer[2/1],LinkedCRQueue/padded,12,2,8192,10000,10,3786077,478114
producerConsumer[2/1],FAAArrayQueue/padded,12,2,8192,10000,10,3942079,492052
producerConsumer[2/1],LinkedPRQueue/padded,12,2,8192,10000,10,3728172,353583
producerConsumer[2/1],MutexBasedQueue,24,2,8192,10000,10,1028974,40716
producerConsumer[2/1],LinkedCRQueue/padded,24,2,8192,10000,10,4515487,186781
producerConsumer[2/1],FAAArrayQueue/padded,24,2,8192,10000,10,4704507,435075
producerConsumer[2/1],LinkedPRQueue/padded,24,2,8192,10000,10,4307577,276818
producerConsumer[2/1],MutexBasedQueue,48,2,8192,10000,10,864358,11201
producerConsumer[2/1],LinkedCRQueue/padded,48,2,8192,10000,10,5992756,448008
producerConsumer[2/1],FAAArrayQueue/padded,48,2,8192,10000,10,5612050,1014891
producerConsumer[2/1],LinkedPRQueue/padded,48,2,8192,10000,10,5844667,720289
producerConsumer[2/1],MutexBasedQueue,96,2,8192,10000,10,744843,8576
producerConsumer[2/1],LinkedCRQueue/padded,96,2,8192,10000,10,7084106,1944180
producerConsumer[2/1],FAAArrayQueue/padded,96,2,8192,10000,10,5937894,1324353
producerConsumer[2/1],LinkedPRQueue/padded,96,2,8192,10000,10,6977424,1473155
producerConsumer[2/1],MutexBasedQueue,126,2,8192,10000,10,700769,4442
producerConsumer[2/1],LinkedCRQueue/padded,126,2,8192,10000,10,8947879,1896530
producerConsumer[2/1],FAAArrayQueue/padded,126,2,8192,10000,10,8757200,2884817
producerConsumer[2/1],LinkedPRQueue/padded,126,2,8192,10000,10,10150583,1372847
