"Benchmark","Param: queueType","Threads","Param: additionalWork","Param: ringSize","Duration","Iterations","Score","Score Error"
EnqDec,MutexBasedQueue,1,0,8192,10000000,50,41839973,164667
EnqDec,LinkedCRQueue/padded,1,0,8192,10000000,50,26530833,10132
EnqDec,FAAArrayQueue/padded,1,0,8192,10000000,50,28166828,12503
EnqDec,LinkedPRQueue/padded,1,0,8192,10000000,50,21041037,33553
EnqDec,MutexBasedQueue,2,0,8192,10000000,50,7325860,69797
EnqDec,LinkedCRQueue/padded,2,0,8192,10000000,50,9779464,68935
EnqDec,FAAArrayQueue/padded,2,0,8192,10000000,50,15509119,365786
EnqDec,LinkedPRQueue/padded,2,0,8192,10000000,50,10545702,54649
EnqDec,MutexBasedQueue,4,0,8192,10000000,50,6075246,295489
EnqDec,LinkedCRQueue/padded,4,0,8192,10000000,50,16248676,71720
EnqDec,FAAArrayQueue/padded,4,0,8192,10000000,50,19375491,451907
EnqDec,LinkedPRQueue/padded,4,0,8192,10000000,50,15209594,36603
EnqDec,MutexBasedQueue,8,0,8192,10000000,50,3374651,115872
EnqDec,LinkedCRQueue/padded,8,0,8192,10000000,50,8320515,943284
EnqDec,FAAArrayQueue/padded,8,0,8192,10000000,50,11182075,1760327
EnqDec,LinkedPRQueue/padded,8,0,8192,10000000,50,9454240,1393736
EnqDec,MutexBasedQueue,16,0,8192,10000000,50,3218838,105398
EnqDec,LinkedCRQueue/padded,16,0,8192,10000000,50,11746455,3365822
EnqDec,FAAArrayQueue/padded,16,0,8192,10000000,50,13118203,2791640
EnqDec,LinkedPRQueue/padded,16,0,8192,10000000,50,11284107,2125268
EnqDec,MutexBasedQueue,32,0,8192,10000000,50,3219676,63436
EnqDec,LinkedCRQueue/padded,32,0,8192,10000000,50,15463634,2579222
EnqDec,FAAArrayQueue/padded,32,0,8192,10000000,50,17160392,3520046
EnqDec,LinkedPRQueue/padded,32,0,8192,10000000,50,16079292,3617086
EnqDec,MutexBasedQueue,64,0,8192,10000000,50,3152961,24793
EnqDec,LinkedCRQueue/padded,64,0,8192,10000000,50,23232156,1849454
EnqDec,FAAArrayQueue/padded,64,0,8192,10000000,50,25885899,2122307
EnqDec,LinkedPRQueue/padded,64,0,8192,10000000,50,23005622,1863094
EnqDec,MutexBasedQueue,128,0,8192,10000000,50,2997344,9006
EnqDec,LinkedCRQueue/padded,128,0,8192,10000000,50,40475730,2651540
EnqDec,FAAArrayQueue/padded,128,0,8192,10000000,50,30887895,1469314
EnqDec,LinkedPRQueue/padded,128,0,8192,10000000,50,39880945,2454064
