vmSize,rssSize,time
8479232,888920,0
8544768,1097500,500
8741376,1317668,1000
9069056,1548468,1500
9396736,1814724,2000
9527808,2073348,2500
9789952,2349644,3000
10183168,2618008,3500
10445312,2884016,4000
10510848,3144216,4500
10838528,3413380,5000
11035136,3678856,5500
11362816,3929804,6000
11690496,4203564,6500
12083712,4473792,7000
12149248,4747180,7500
12673536,5014332,8000
12804608,5281924,8500
13001216,5546872,9000
13459968,5811276,9500
13525504,6084700,10000
13525504,6084700,10500
13525504,6084700,11000
13525504,6084700,11500
13525504,6084700,12000
13525504,6084700,12500
13394432,5898440,13000
13394432,5898440,13500
13394432,5898440,14000
13394432,5898440,14500
13394432,5898440,15000
13394432,5898440,15500
13394432,5898440,16000
13394432,5898440,16500
13394432,5898440,17000
13394432,5898440,17500
13394432,5898440,18000
13394432,5898440,18500
12214784,4679860,19000
12214784,4679860,19500
11035136,3461280,20000
11035136,3472260,20500
11035136,3528524,21000
11166208,3611464,21500
11231744,3633060,22000
11231744,3633060,22500
11231744,3633320,23000
11166208,3633848,23500
11035136,3633060,24000
11231744,3634632,24500
11231744,3635424,25000
11231744,3635424,25500
11297280,3689360,26000
11231744,3854992,26500
11756032,4151972,27000
12083712,4498336,27500
12476928,4838452,28000
12870144,5188652,28500
13132288,5546500,29000
13525504,5896132,29500
13722112,6220588,30000
13722112,6220588,30500
13722112,6220588,31000
13722112,6220588,31500
13722112,6220588,32000
13722112,6220588,32500
13722112,6220588,33000
13722112,6220588,33500
13722112,6220588,34000
13722112,6220588,34500
13722112,6220588,35000
13722112,6220588,35500
13722112,6220588,36000
13722112,6220588,36500
13722112,6220588,37000
13722112,6220588,37500
13722112,6220588,38000
13722112,6220588,38500
11690496,4106028,39000
11690496,4106028,39500
11690496,4106472,40000
11690496,4106472,40500
11690496,4106472,41000
11690496,4106472,41500
11690496,4133020,42000
11690496,4220776,42500
11887104,4253212,43000
11690496,4251636,43500
11887104,4254000,44000
11756032,4291348,44500
11887104,4338452,45000
12280320,4666032,45500
12673536,5022796,46000
12935680,5369832,46500
13591040,5714844,47000
13722112,6068312,47500
14049792,6423380,48000
14246400,6769596,48500
14705152,7119376,49000
15163904,7475612,49500
15360512,7820128,50000
15360512,7820128,50500
15360512,7820128,51000
15360512,7820128,51500
15360512,7820128,52000
15360512,7820128,52500
15360512,7820128,53000
15360512,7820128,53500
15360512,7820128,54000
15360512,7820128,54500
15360512,7820128,55000
15360512,7820128,55500
15360512,7820128,56000
15360512,7820128,56500
14705152,7110408,57000
13394432,5770088,57500
13394432,5770088,58000
13394432,5770088,58500
13394432,5770088,59000
13394432,5770088,59500
13394432,5770320,60000
13394432,5827540,60500
13394432,5851824,61000
13394432,5851824,61500
13394432,5851824,62000
13459968,5852348,62500
13459968,5851944,63000
13459968,5851944,63500
13394432,5853000,64000
13394432,5855352,64500
13459968,5856140,65000
13525504,5885640,65500
13591040,5950184,66000
13525504,5950188,66500
13656576,6021712,67000
13722112,6207396,67500
14246400,6555980,68000
14574080,6913144,68500
14901760,7271116,69000
15163904,7620768,69500
15491584,7960636,70000
15491584,7960636,70500
15491584,7960636,71000
15491584,7960636,71500
15491584,7960636,72000
15491584,7960636,72500
15491584,7960636,73000
15491584,7960636,73500
15491584,7960636,74000
15491584,7960636,74500
15491584,7960636,75000
15491584,7960636,75500
15491584,7960636,76000
15491584,7960636,76500
13722112,6122584,77000
13132288,5523476,77500
13132288,5523476,78000
13132288,5523476,78500
13132288,5523476,79000
13132288,5523476,79500
13132288,5523716,80000
13132288,5581088,80500
13132288,5638308,81000
13263360,5639884,81500
13132288,5638308,82000
13263360,5639884,82500
13132288,5638308,83000
13328896,5640672,83500
13328896,5638308,84000
13328896,5640144,84500
13132288,5638308,85000
13197824,5639096,85500
13394432,5703368,86000
13394432,5701800,86500
13394432,5754316,87000
13459968,5819624,87500
13722112,5957492,88000
13918720,6313088,88500
14180864,6665900,89000
14705152,7021072,89500
14901760,7354232,90000
14901760,7354232,90500
14901760,7354232,91000
14901760,7354232,91500
14901760,7354232,92000
14901760,7354232,92500
14901760,7354232,93000
14901760,7354232,93500
14901760,7354232,94000
14901760,7354232,94500
14901760,7354232,95000
14901760,7354232,95500
14901760,7354232,96000
13459968,5825600,96500
13459968,5825600,97000
13459968,5825600,97500
13459968,5825600,98000
13459968,5825600,98500
13459968,5825600,99000
13459968,5825600,99500
13459968,5825904,100000
13459968,5883332,100500
13525504,5936384,101000
13525504,5936384,101500
13525504,5936912,102000
13459968,5936124,102500
13459968,5936124,103000
13525504,5936124,103500
13525504,5936648,104000
13459968,5947312,104500
13722112,6062304,105000
13722112,6064416,105500
13722112,6128148,106000
13656576,6211564,106500
13984256,6319344,107000
13853184,6442204,107500
14246400,6579880,108000
14574080,6929528,108500
14967296,7290504,109000
15294976,7628156,109500
15491584,7967656,110000
15491584,7967656,110500
15491584,7967656,111000
15491584,7967656,111500
15491584,7967656,112000
15491584,7967656,112500
15491584,7967656,113000
15491584,7967656,113500
15491584,7967656,114000
15491584,7967656,114500
15491584,7967656,115000
15491584,7967656,115500
15491584,7967656,116000
15491584,7967656,116500
14508544,6885416,117000
14508544,6885416,117500
14508544,6885416,118000
14508544,6885416,118500
14508544,6885416,119000
14508544,6885416,119500
14508544,6885656,120000
14508544,6896208,120500
14508544,6896208,121000
