"Benchmark","Param: queueType","Threads","Param: additionalWork","Param: ringSize","Duration","Iterations","Score","Score Error"
producerConsumer[1/1],MutexBasedQueue,2,0,8192,10000,10,4803622,884052
producerConsumer[1/1],LinkedCRQueue/padded,2,0,8192,10000,10,5232116,1341698
producerConsumer[1/1],FAAArrayQueue/padded,2,0,8192,10000,10,5577787,118058
producerConsumer[1/1],LinkedPRQueue/padded,2,0,8192,10000,10,4057187,897807
producerConsumer[1/1],MutexBasedQueue,4,0,8192,10000,10,2745807,474826
producerConsumer[1/1],LinkedCRQueue/padded,4,0,8192,10000,10,4284185,1645248
producerConsumer[1/1],FAAArrayQueue/padded,4,0,8192,10000,10,12693929,5811804
producerConsumer[1/1],LinkedPRQueue/padded,4,0,8192,10000,10,4660014,1120277
producerConsumer[1/1],MutexBasedQueue,8,0,8192,10000,10,1561339,195524
producerConsumer[1/1],LinkedCRQueue/padded,8,0,8192,10000,10,3043724,957613
producerConsumer[1/1],FAAArrayQueue/padded,8,0,8192,10000,10,3314187,832490
producerConsumer[1/1],LinkedPRQueue/padded,8,0,8192,10000,10,3282210,741668
producerConsumer[1/1],MutexBasedQueue,16,0,8192,10000,10,1555450,57758
producerConsumer[1/1],LinkedCRQueue/padded,16,0,8192,10000,10,3638813,775556
producerConsumer[1/1],FAAArrayQueue/padded,16,0,8192,10000,10,3736413,489735
producerConsumer[1/1],LinkedPRQueue/padded,16,0,8192,10000,10,3566979,509305
producerConsumer[1/1],MutexBasedQueue,32,0,8192,10000,10,1571548,38587
producerConsumer[1/1],LinkedCRQueue/padded,32,0,8192,10000,10,4653439,486398
producerConsumer[1/1],FAAArrayQueue/padded,32,0,8192,10000,10,4992316,450479
producerConsumer[1/1],LinkedPRQueue/padded,32,0,8192,10000,10,4529111,309133
producerConsumer[1/1],MutexBasedQueue,64,0,8192,10000,10,1567203,30333
producerConsumer[1/1],LinkedCRQueue/padded,64,0,8192,10000,10,7058722,437984
producerConsumer[1/1],FAAArrayQueue/padded,64,0,8192,10000,10,7020912,715234
producerConsumer[1/1],LinkedPRQueue/padded,64,0,8192,10000,10,6936913,290528
producerConsumer[1/1],MutexBasedQueue,128,0,8192,10000,10,1460062,14646
producerConsumer[1/1],LinkedCRQueue/padded,128,0,8192,10000,10,12609046,595922
producerConsumer[1/1],FAAArrayQueue/padded,128,0,8192,10000,10,10307176,1026702
producerConsumer[1/1],LinkedPRQueue/padded,128,0,8192,10000,10,12222301,503228
