"Benchmark","Param: queueType","Threads","Param: additionalWork","Param: ringSize","Duration","Iterations","Score","Score Error"
producerConsumer[1/1],MutexBasedQueue,2,2,8192,10000,10,3377090,58634
producerConsumer[1/1],LinkedCRQueue/padded,2,2,8192,10000,10,13927455,296640
producerConsumer[1/1],FAAArrayQueue/padded,2,2,8192,10000,10,4738392,133871
producerConsumer[1/1],LinkedPRQueue/padded,2,2,8192,10000,10,3613160,45654
producerConsumer[1/1],MutexBasedQueue,4,2,8192,10000,10,2498169,244492
producerConsumer[1/1],LinkedCRQueue/padded,4,2,8192,10000,10,4582486,1109773
producerConsumer[1/1],FAAArrayQueue/padded,4,2,8192,10000,10,14397927,4222740
producerConsumer[1/1],LinkedPRQueue/padded,4,2,8192,10000,10,4631906,894115
producerConsumer[1/1],MutexBasedQueue,8,2,8192,10000,10,1142748,67196
producerConsumer[1/1],LinkedCRQueue/padded,8,2,8192,10000,10,3416080,752777
producerConsumer[1/1],FAAArrayQueue/padded,8,2,8192,10000,10,4050968,871062
producerConsumer[1/1],LinkedPRQueue/padded,8,2,8192,10000,10,3308544,372490
producerConsumer[1/1],MutexBasedQueue,16,2,8192,10000,10,1087992,42033
producerConsumer[1/1],LinkedCRQueue/padded,16,2,8192,10000,10,3527981,868969
producerConsumer[1/1],FAAArrayQueue/padded,16,2,8192,10000,10,3857892,341143
producerConsumer[1/1],LinkedPRQueue/padded,16,2,8192,10000,10,3226061,647656
producerConsumer[1/1],MutexBasedQueue,32,2,8192,10000,10,1059975,25809
producerConsumer[1/1],LinkedCRQueue/padded,32,2,8192,10000,10,4699936,598535
producerConsumer[1/1],FAAArrayQueue/padded,32,2,8192,10000,10,5347905,392544
producerConsumer[1/1],LinkedPRQueue/padded,32,2,8192,10000,10,4355483,386096
producerConsumer[1/1],MutexBasedQueue,64,2,8192,10000,10,1046500,44254
producerConsumer[1/1],LinkedCRQueue/padded,64,2,8192,10000,10,7131777,219276
producerConsumer[1/1],FAAArrayQueue/padded,64,2,8192,10000,10,7267061,767263
producerConsumer[1/1],LinkedPRQueue/padded,64,2,8192,10000,10,6998489,139837
producerConsumer[1/1],MutexBasedQueue,128,2,8192,10000,10,936906,10721
producerConsumer[1/1],LinkedCRQueue/padded,128,2,8192,10000,10,12228891,434431
producerConsumer[1/1],FAAArrayQueue/padded,128,2,8192,10000,10,9869605,787947
producerConsumer[1/1],LinkedPRQueue/padded,128,2,8192,10000,10,8487732,453081
